gene,lfc,p,nlp
AMPD3,0.013136584884844815,0.9857413969564554,0.006237004536903064
AMT,0.008828912699619273,0.9900388955664186,0.004347742980185476
APOA4,1.03728841011869,0.14492480003156918,0.8388572901998747
APP,0.19482261015830327,0.7699817696832904,0.11351955719073382
APRT,0.4399795170119095,0.5406355490929342,0.26709540098412243
AQP2,0.1625490307303766,0.6396501890960339,0.1940574673893582
ARSA,-0.10036638083627106,0.852582345253885,0.06926366469639549
SERPINC1,-0.059304751139633384,0.9027054602538157,0.04445393058675081
ATRX,0.024334244897868375,0.9475567476814988,0.023394771368396926
AVP,0.041395398811947336,0.9107008717402847,0.040624247708977275
C1QB,0.755654138350879,0.19132447796716798,0.718229462978453
CFTR,0.19978642556560083,0.6988641299466969,0.15560724964778444
COL10A1,0.07756602428898632,0.8907463899969588,0.05024592907526558
COL4A5,-0.011315988189155047,0.9853385119175749,0.006414542495537903
CRYBB2,0.49633599460601496,0.49272862124386674,0.3073922100261748
CYP11B1,1.2110207222351812,0.024391248452483808,1.612765969995888
CYP21A2,0.9229788838104485,0.0003631306243301772,3.4399371236655414
EPX,0.2027556536884531,0.7293751588190455,0.13704903204434715
F2,-0.16910877766341512,0.7619343033779113,0.11808247342479285
FBP1,-0.09384429507717709,0.8638282134697626,0.06357261557662593
FUT2,0.23965412969410388,0.44582197331743,0.3508385301686256
GALNS,0.42479275134435845,0.5240353408200914,0.28063942331093683
GH1,0.4279833610855405,0.489290540982008,0.31043317998710046
HBA2,0.35627890031406195,0.6836394620883834,0.16517287621376134
HBD,0.51167441482517,0.2027582487728355,0.6930214684428089
HEXA,0.41002979877293316,0.4260220611268297,0.3705679108090874
HEXB,0.5274307875561238,0.01210520604206109,1.9170278140563148
HOXA13,0.32074210250760316,0.61737224782933,0.20945289685825427
HOXD13,-0.6297826787988919,0.16490410022378021,0.782768545796208
HTR1A,0.21745064026032956,0.7465346235092799,0.12695004533972826
KCNJ11,-0.7240829709614267,0.22161312269934855,0.6544045266729562
