x,y,burden,stage
2.492538,-1.1334186,0.016017274039085105,2_malignant
-4.0028496,10.1480255,0.019134022054342358,2_malignant
7.5144687,6.519055,0.006271602783607228,1_benign_lesion
-5.2738085,10.503389,0.0202581401551633,2_malignant
-3.172224,14.285849,0.016890372934729288,2_malignant
12.203645,6.1561675,0.002061754666901865,0_normal
-5.919698,10.497172,0.025228303088835516,2_malignant
-5.245391,10.387723,0.025301653201173765,2_malignant
-6.653519,10.107586,0.023897619315190553,2_malignant
12.287371,5.5424366,0.003102269894762053,0_normal
10.148955,6.78457,0.007926769373323731,0_normal
6.6368957,3.7857141,0.022914303286810395,0_normal
-3.679632,7.658041,0.01844482458147902,2_malignant
-4.4703827,10.886932,0.017850798209114383,2_malignant
12.286272,8.829642,0.010874745043906101,0_normal
11.415342,0.45529008,0.004596651658664947,1_benign_lesion
-2.0871797,6.413706,0.02092960218628088,2_malignant
-3.494741,10.572837,0.022195564223028746,2_malignant
-2.156595,10.616075,0.02640351867550119,2_malignant
10.502336,6.032029,0.0017417983063111482,0_normal
-3.109556,4.7386417,0.016986568822612357,2_malignant
11.279183,8.796885,0.01415533847910396,0_normal
9.324698,4.951056,0.014125965127009968,0_normal
-0.73030263,10.359479,0.02722792209121262,2_malignant
2.9131925,-1.3908211,0.0118270866504928,2_malignant
-4.49639,11.666164,0.025779030621617377,2_malignant
13.948065,6.3994226,0.0014680242113379342,0_normal
-2.3501265,15.715867,0.024822444631687403,2_malignant
11.320888,1.2882994,0.015788361383854373,1_benign_lesion
-1.0335896,8.647501,0.02406301805832287,2_malignant
9.574928,6.436791,0.003428296232217511,0_normal
10.165835,11.445471,0.0047213244646902445,0_normal
-3.3349128,6.8998466,0.019548485205249624,2_malignant
10.834516,9.126198,0.005877266682651922,0_normal
-3.1203284,1.8518152,0.024856470055048447,2_malignant
-2.849961,4.053083,0.018589593977277146,2_malignant
9.497322,2.7016194,0.010133999774667023,1_benign_lesion
-6.657632,9.177395,0.020678012470226773,2_malignant
11.082229,8.776811,0.004537056861066574,0_normal
-4.7461324,10.309849,0.02570860375254353,2_malignant
14.9461155,14.583864,0.004071419335372639,0_normal
5.974241,19.07144,0.008088774228674527,1_benign_lesion
5.7830615,19.652477,0.012451333488091734,1_benign_lesion
9.921647,3.7779245,0.014729364762573083,0_normal
6.2679667,6.028076,0.012453305291526431,2_malignant
1.5659057,-3.8817198,0.027407694047288607,2_malignant
9.930702,10.212468,0.0039027056967340934,0_normal
1.583822,-1.8117307,0.020253496010242553,2_malignant
-2.7874577,4.524279,0.017485472553849277,2_malignant
9.811367,5.1065106,0.006847554058932791,0_normal
6.0494256,17.540276,0.0026756466488099236,1_benign_lesion
-7.0290995,11.02923,0.007751950711566556,2_malignant
11.269604,7.223652,0.010655886705283935,0_normal
-6.197346,8.936093,0.02160391100607004,2_malignant
13.036295,4.302099,0.0012148425870226126,0_normal
-5.0319614,12.293593,0.02366536407140428,2_malignant
14.396943,6.935685,0.0013146564072370405,0_normal
10.734884,4.536147,0.0017871039780006002,0_normal
8.714927,2.9101007,0.013564614195270282,2_malignant
11.723284,0.563255,0.012908057018264613,0_normal
-3.7135968,14.086305,0.03166930762819036,2_malignant
2.5168862,-1.8204801,0.015983734698732145,2_malignant
1.6824995,13.757586,0.02163561794646554,2_malignant
-4.1872163,11.473374,0.0216500907520074,2_malignant
-4.51127,9.313549,0.015475956440069698,2_malignant
7.686307,5.9387083,0.007905555874177014,1_benign_lesion
10.844949,12.738397,0.011973585976531406,0_normal
4.7647243,18.645699,0.011789518613669961,1_benign_lesion
-3.7398887,12.84743,0.02021567257592639,2_malignant
7.220034,17.735804,0.0022714624528846128,0_normal
4.416441,6.997402,0.013377050826967822,0_normal
10.069405,5.6649027,0.006501973031906731,0_normal
12.592345,7.5240407,0.01214197286791285,0_normal
-3.2742682,11.882024,0.018940592027302593,2_malignant
-3.696548,10.266413,0.02045674395194182,2_malignant
-1.9401143,10.046942,0.02242661166325474,2_malignant
9.477332,2.5756898,0.007854558782505723,1_benign_lesion
5.4712057,19.373718,0.012165727642685874,1_benign_lesion
-2.6756058,11.107744,0.023206852763272598,2_malignant
8.741753,13.604457,0.004555237944302563,0_normal
6.493035,19.859669,0.005761461387303341,0_normal
8.238416,7.0876336,0.003644741491233377,0_normal
6.389282,17.707716,0.01366427049363449,0_normal
14.587853,7.7600827,0.0025589801984251307,0_normal
