dataset_id,tissue,assay,susp,disease,n_ctrl,n_case,cells
df287f8d-f50d-4620-ab96-489d559e6adc,prostate gland,10x 3' v2,cell,benign prostatic hyperplasia,3,3,1295
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,bipolar I disorder,146,32,875177
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,bipolar I disorder || anorexia nervosa,146,3,730594
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,bipolar I disorder || atherosclerosis,146,6,759114
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,bipolar I disorder || obsessive-compulsive disorder,146,4,741768
5c97eeeb-7e52-44b3-b010-b832b1f5424c,brain,10x 3' v3,nucleus,bipolar II disorder,146,5,749468
37a17b78-4864-4a42-b67b-31c00962795a,brain,10x 3' v3,nucleus,brain neoplasm,261,3,1056865
b617ee1b-f8c8-4de9-b82b-e803ab93550d,breast,inDrop,cell,breast cancer,5,8,38219
d68a8b48-abf0-4bd5-8834-155d34ec448a,lung,10x 3' v3,nucleus,bronchopulmonary dysplasia,11,13,271381
19053a82-9c89-4fb8-bd19-d7b1800b0b7b,small intestine,10x 5' v1,cell,celiac disease,10,3,8506
07574da2-6bd3-4708-a04d-27d95c009f4e,small intestine,10x 5' v1,cell,celiac disease,10,3,7339
a12ccb9b-4fbe-457d-8590-ac78053259ef,kidney,10x 3' v3,nucleus,chronic kidney disease,25,39,250440
dea717d4-7bc0-4e46-950f-fd7e1cc8df7d,kidney,10x 3' v3,cell,chronic kidney disease,26,37,174010
0b75c598-0893-4216-afe8-5414cab7739d,kidney,10x 3' v3,nucleus,chronic kidney disease,13,13,149896
07854d9c-5375-4a9b-ac34-fa919d3c3686,kidney,10x 3' v3,nucleus,chronic kidney disease,13,10,141980
32b9bdce-2481-4c85-ba1b-6ad5fcea844c,kidney,10x 3' v3,cell,chronic kidney disease,18,15,72353
