state,gene,n_cells,mean_expr,frac_pos,gene_state
NK,IKZF2,41706,0.10467804968357086,0.08097156284467463,Treg
NK,NKG7,41706,3.1735379695892334,0.8576943365463003,NK
NK,GNLY,41706,4.631369113922119,0.8680525583848847,NK
NK,KLRD1,41706,1.503541350364685,0.6688246295497051,NK
NK,NCAM1,41706,0.572193443775177,0.36625425598235267,NK
NK,MS4A1,41706,0.014001707546412945,0.009471059320001918,B
NK,CD79A,41706,0.02268344536423683,0.01640051791109193,B
NK,CD19,41706,0.0009554486023262143,0.0008152304224811778,B
NK,MZB1,41706,0.16147688031196594,0.1280391310602791,Plasma
NK,JCHAIN,41706,0.015581606887280941,0.010046516088812161,Plasma
NK,XBP1,41706,0.5261437296867371,0.3571908118735913,Plasma
NK,CD68,41706,0.10463403910398483,0.07922121517287681,Macrophage
NK,CD163,41706,0.02259569801390171,0.015729151680813312,Macrophage
NK,MRC1,41706,0.019961515441536903,0.013930849278281303,Macrophage
NK,C1QA,41706,0.05287891998887062,0.029947729343499735,Macrophage
NK,LYZ,41706,0.18185532093048096,0.10655541169136336,Mono
NK,S100A8,41706,0.16183587908744812,0.09370354385460125,Mono
NK,FCN1,41706,0.027392080053687096,0.018438593967294872,Mono
NK,VCAN,41706,0.09793853759765625,0.06584184529803865,Mono
NK,LILRA4,41706,0.0009495209087617695,0.0008631851532153647,pDC
NK,CLEC4C,41706,0.00019163820252288133,0.00021579628830384117,pDC
NK,IRF7,41706,0.26905557513237,0.19891622308540738,pDC
NK,TPSAB1,41706,0.010102234780788422,0.004675586246583226,Mast
NK,CPA3,41706,0.005707512143999338,0.0030691027669879634,Mast
NK,KIT,41706,0.019967030733823776,0.01827075240972522,Mast
B,CD3D,5383,0.08471285551786423,0.05517369496563255,CD4T
B,CD3E,5383,0.08126869052648544,0.05777447519970277,CD4T
B,IL7R,5383,0.09745737165212631,0.060746795467211595,CD4T
B,CCR7,5383,0.8618687391281128,0.47668586290172765,CD4T
B,CD8A,5383,0.026070307940244675,0.019877391788965262,CD8T
B,CD8B,5383,0.01644016243517399,0.014304291287386216,CD8T
B,GZMK,5383,0.03646612912416458,0.024150102173509196,CD8T
B,FOXP3,5383,0.00042900515836663544,0.0005573100501579045,Treg
B,IL2RA,5383,0.13181522488594055,0.08768344789151031,Treg
B,CTLA4,5383,0.003516221884638071,0.0027865502507895224,Treg
B,IKZF2,5383,0.0680088922381401,0.04514211406279026,Treg
B,NKG7,5383,0.2745828330516815,0.12855285156975665,NK
B,GNLY,5383,1.3223249912261963,0.5248002972320267,NK
B,KLRD1,5383,0.07220515608787537,0.04681404421326398,NK
B,NCAM1,5383,0.019480405375361443,0.015604681404421327,NK
B,MS4A1,5383,1.674901008605957,0.7583132082481887,B
B,CD79A,5383,2.223499059677124,0.8855656697009102,B
B,CD19,5383,0.3363138437271118,0.24465911201932009,B
B,MZB1,5383,0.15027810633182526,0.11573472041612484,Plasma
B,JCHAIN,5383,0.37354809045791626,0.22998328069849527,Plasma
B,XBP1,5383,0.20081321895122528,0.1486160133754412,Plasma
B,CD68,5383,0.05555129423737526,0.04607096414638677,Macrophage
B,CD163,5383,0.00697309011593461,0.005758870518298346,Macrophage
B,MRC1,5383,0.007403306197375059,0.005201560468140442,Macrophage
B,C1QA,5383,0.023428628221154213,0.016719301504737136,Macrophage
B,LYZ,5383,0.10829760134220123,0.07839494705554524,Mono
B,S100A8,5383,0.14695826172828674,0.09399962845996657,Mono
B,FCN1,5383,0.009046219289302826,0.00743080066877206,Mono
B,VCAN,5383,0.03501617908477783,0.02619357235742151,Mono
B,LILRA4,5383,0.018732460215687752,0.015418911387702025,pDC
B,CLEC4C,5383,0.001202060142531991,0.000743080066877206,pDC
B,IRF7,5383,0.29335924983024597,0.20063161805684562,pDC
B,TPSAB1,5383,0.002020312240347266,0.001486160133754412,Mast
B,CPA3,5383,0.0013113516615703702,0.001114620100315809,Mast
B,KIT,5383,0.001691739191301167,0.0013003901170351106,Mast
Plasma,CD3D,529,0.04929013550281525,0.04725897920604915,CD4T
Plasma,CD3E,529,0.04587291181087494,0.052930056710775046,CD4T
Plasma,IL7R,529,0.08062976598739624,0.062381852551984876,CD4T
Plasma,CCR7,529,0.15664468705654144,0.11153119092627599,CD4T
Plasma,CD8A,529,0.023332737386226654,0.02835538752362949,CD8T
Plasma,CD8B,529,0.01765553653240204,0.015122873345935728,CD8T
Plasma,GZMK,529,0.01221342384815216,0.020793950850661626,CD8T
Plasma,FOXP3,529,0.00046504216152243316,0.001890359168241966,Treg
Plasma,IL2RA,529,0.032579414546489716,0.02835538752362949,Treg
Plasma,CTLA4,529,0.003937308210879564,0.00945179584120983,Treg
Plasma,IKZF2,529,0.02190357632935047,0.024574669187145556,Treg
Plasma,NKG7,529,0.18208889663219452,0.1342155009451796,NK
Plasma,GNLY,529,0.8702213168144226,0.46313799621928164,NK
Plasma,KLRD1,529,0.04125199839472771,0.045368620037807186,NK
Plasma,NCAM1,529,0.017629370093345642,0.01890359168241966,NK
Plasma,MS4A1,529,0.28106778860092163,0.14933837429111532,B
Plasma,CD79A,529,1.2578788995742798,0.7882797731568998,B
Plasma,CD19,529,0.1285930573940277,0.21739130434782608,B
Plasma,MZB1,529,2.2342262268066406,0.77882797731569,Plasma
Plasma,JCHAIN,529,3.1615493297576904,0.8147448015122873,Plasma
Plasma,XBP1,529,1.6830418109893799,0.7126654064272212,Plasma
Plasma,CD68,529,0.06153823435306549,0.09073724007561437,Macrophage
Plasma,CD163,529,0.009176663123071194,0.022684310018903593,Macrophage
