source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Stromal_Fib,NK,FN1,ITGA6,0.5480709,0.0,0.12433756,0.04085615675157242,-0.11490183032579476,0.008775886,0.784027,0.8080655700364499,0.4536421235802417
Epithelial,SmoothMuscle,APP,NCSTN,0.5254196,0.71,0.097559236,-0.07315799773687282,-0.12507392132417167,0.004870144,0.76278687,1.0,0.4536421235802417
CD8T,Mono,TNF,TNFRSF1B,0.8817579,0.0,0.3001219,1.4135061929392834,1.2681351673796792,0.04304695,0.8493976,0.03743296187541496,0.453681193761303
Epithelial,Macrophage,AFDN,EPHB2,0.49586284,0.0,0.097556695,0.9206903880635888,0.6390474205277312,0.18400401,0.76278454,0.050398100867591736,0.45369556871762773
SmoothMuscle,Stromal_Fib,APOE,ABCA1,0.39226332,1.0,0.1203464,-0.02912776444608739,-0.25834518444734456,0.013209784,0.7812519,1.0,0.45369556871762773
Macrophage,Epithelial,APOE,LRP1,0.8522443,0.0,0.12434549,0.015550023249883582,0.5806428404186428,0.00649107,0.7840324,0.7555216006404692,0.45369556871762773
Epithelial,Endothelial,EFNB2,EPHA4,0.14570563,0.0,0.011900866,0.27095431890774213,0.08735891984233812,0.0239522,0.5289913,0.24133045831766023,0.4536982985361413
Plasma,Endothelial,SEMA4A,PLXND1,0.4137228,0.0,0.12435627,0.9409746981896565,0.5930266531353248,0.051323198,0.7840397,0.05851709003452131,0.45374917033585677
B,pDC,GNAI2,CCR5,0.53179073,0.65,0.124368764,0.114149476148784,-0.0206493981048453,0.006602105,0.78404826,1.0,0.4538027761757424
Macrophage,Mono,CXCL12,CD4,0.49524495,0.0,0.09754091,0.6932353224945258,0.4189427013007092,0.015055341,0.7627698,0.09384126315307467,0.4538027761757424
Stromal_Fib,NK,WNT5A,RYK,0.39221206,0.0,0.10931186,0.15639308942582625,0.5179023852168243,0.033963375,0.77292335,0.29552165651906037,0.45385638623745084
Stromal_Fib,Mast,COL4A2,ITGAV_ITGB8,0.51541746,0.0,0.12437259,0.07240376860908943,0.32443973949752536,0.016407732,0.78405076,0.5241332676199656,0.45385638623745084
